STT,Tên bài hát,Tác giả,Thể loại
2127,Có một người ở lại,Phong Lê,Nhạc trẻ|Phong Lê
2128,Chờ,Lam Phương,Bolero|Lam Phương
2129,Vẫn Mãi Yêu Em,Johnny Dũng,Nhạc trữ tình
2130,Sẽ Không Quay Về,Đỗ Hiếu,Nhạc trẻ
2131,Hỏi Vợ Ngoại Thành 2,Giao Tiên,Nhạc trữ tình
2132,Lá đa thần kỳ,Nguyễn Văn Chung,Nhạc thiếu nhi
2133,Thế là hết,Ngân Giang,Ngân Giang|Nhạc trữ tình
2134,Mỗi tuần một quyển sách,Nguyễn Văn Chung,Nhạc thiếu nhi
2135,Tình Mãi Ngu Ngơ,Anh Tài,Bolero
2136,Gặp Nhau Trên Đường Tu,Hamlet Trương,"Nhạc Trẻ,Nhạc Trữ Tình"
2137,Xa,Lam Phương,Bolero|Lam Phương
2138,Sao Chúa đành im lặng,Sr. Hiền Hòa,Sr. Hiền Hòa|Nhạc thánh ca
2139,Vì Đâu Lại Thế,Reddy,Nhạc trẻ
2140,Gót chinh nhân,Anh Bằng,Bolero
2141,Cô giáo trẻ,Vinh Sử,Bolero
2142,Ly rượu tương phùng,Quốc Anh,Bolero
2143,Đã qua thời mong chờ,Trúc Hồ,Trúc Hồ|Nhạc trữ tình
2144,Một ngày thật buồn,Anh Bằng,Bolero
2145,Lời con nguyện cầu,Danh Mã Phi Hùng,Nhạc Thánh Ca
2146,Tình yêu đam mê,Nguyễn Ngọc Thiện,Nhạc trữ tình|Hoàng Tuấn|Nguyễn Ngọc Thiện
2147,Trương chi mỵ nương,Đăng Minh,Ca cổ
2148,Bằng lăng tím,Ngô Sỹ Ngọc,Nhạc trữ tình
2149,Thương đời hoa,Giao Tiên,Bolero
2150,Tình Chúa Thương Tôi,Thế Thông,Thế Thông|Nhạc thánh ca
2151,Mừng Ngày Cưới,Vĩnh Phúc,Nhạc hôn lễ
2152,Gửi niềm thương về Huế,Tuấn Hải,Bolero
2153,Bạch Tuyết và bảy chú lùn,Giao Tiên,Bolero
2154,Nhớ Sài Gòn,Anh Bằng,Bolero
2155,Để Dành Nước Mắt,Hamlet Trương,"Nhạc Trẻ,Nhạc Trữ Tình"
2156,Anh không còn yêu em,Vũ Xuân Hùng,"Nhạc ngoại, Lời Việt"
2157,Mẹ Hằng Cứu Giúp,Thế Thông,Nhạc thánh ca|Thế Thông
2158,Sinh Nhật Mẹ 2,Thế Thông,Nhạc thánh ca|Thế Thông
2159,Bóng đêm,Anh Bằng,Bolero
2160,Đêm thánh huy hoàng,Nguyễn Văn Đông,Giáng sinh
2161,Ngán ngẩm tình đời,Viên Nghiệp,Bolero|Viên Nghiệp
2162,Khúc hát ân tình,Xuân Tiên,"Bolero, ĐQ Asia"
2163,Tìm dấu yêu xưa,Lê Quang,Lê Quang|Hoàng Tuấn|Nhạc trữ tình
2164,Tình đơn phương 2,Minh Tâm,Nhạc trữ tình|Hoàng Tuấn|Minh Tâm
2165,Bảng chữ cái,Nguyễn Văn Chung,Nhạc thiếu nhi
2166,Thua Người Đến Sau,Hồ Quang Huy,Pop
2167,Anh Vẫn Yêu,Đông Thiên Đức,Ballad|pop|Đông Thiên Đức
2168,Tình Bậu Muốn Thôi,Đông Phương Tường,Bolero
2169,Hà Nội và em,Vinh Sử,Bolero
2170,Hoa Nắng,Trần Trịnh,Bolero
2171,Tôi không còn yêu em,Vũ Tuấn Đức,Nhạc trữ tình|Vũ Tuấn Đức
2172,Mưa bay trong đời,Anh Bằng,Bolero
2173,Giọt lệ người tình,Vinh Sử,Bolero
2174,Nhớ Hà Nội,Anh Bằng,Bolero
2175,Vinh Quang Thuộc Chúa,Vĩnh Phúc,Nhạc thánh ca
2176,Quán cà phê vắng,Vũ Tuấn Đức,Vũ Tuấn Đức|Nhạc trữ tình
2177,Trai nghèo,Hoàng Văn Minh,Nhạc Trữ Tình
2178,Mãi Không Rời Xa,Đỗ Hiếu,Nhạc trẻ
2179,Xóa tên người tình,Vinh Sử,Bolero
2180,Những mùa thu qua trên cuộc tình tôi,Trường Sa,Nhạc trữ tình|Trường Sa
2181,Xin cảm ơn đời,Nhật Thu,Nhật Thu|Nhạc trữ tình
2182,Vấp ngã là bình thường,Nguyễn Văn Chung,Nhạc thiếu nhi
2183,Xuân Về Con Cũng Về,Hamlet Trương,"Nhạc Trẻ,Nhạc Trữ Tình"
2184,Tình mãi không phai,Hoàng Nhạc Đô,Nhạc trữ tình|Hoàng Nhạc Đô
2185,Dừng Chân Đứng Lại,TaynguyenSound,TaynguyenSound|Nhạc trẻ
2186,Sao Cứ Phải Là Anh,Đông Thiên Đức,pop|Đông Thiên Đức|Ballad
2187,Ngủ đi con,Nguyễn Văn Chung,Nhạc thiếu nhi
2188,Hãy Cho Nhau Thời Gian,Hamlet Trương,"Nhạc Trẻ,Nhạc Trữ Tình"
2189,Nếu Đánh Mất Em,Reddy,Nhạc trẻ
2190,Mẹ Ơi Đừng Bỏ Con,Dương Khắc Linh,"Pop, Ballad"
2191,Đất nước,Phan Ni Tấn,Nhạc trữ tình
2192,Ru em vào mộng,Giao Tiên,Bolero
2193,Giọt Sương Nắng,Nam Đức,Nhạc trẻ|Nam Duc
2194,Em có còn yêu anh,Trúc Hồ,Nhạc trữ tình|Trúc Hồ
2195,Ngày em sang ngang( Ngày em sang sông),Bằng Giang,Bolero
2196,Tình đẹp,Anh Bằng,Bolero
2197,Nữ Công Nhân,Trường Lê,Pop
2198,3 năm lính,Thái Ngọc Sơn,Bolero
2199,Ngại Gì Không Đi,Bùi Công Nam,Nhạc trẻ
2200,Nỗi nhớ,Lam Phương,Lam Phương|Bolero
2201,Mưa tháng 4,Kim Kim Gà,Kim Kim Gà|Ballad
2202,Giã biệt trương xưa,Vinh Sử,Bolero
2203,Sầu viễn xứ,Lam Phương,Lam Phương|Bolero
2204,Ký Ức Một Thời,N2L,"POP,Ballad"
2205,Anh đã biết,Lam Phương,Bolero|Lam Phương
2206,One More Chance,Nguyễn Huy Điền,Nguyễn Huy Điền|Nhạc trữ tình
2207,Tôi Phi Thường,Bùi Công Nam,Nhạc trẻ
2208,Kẻ si tình,Lê Minh Kha,Hoàng Tuấn|Nhạc trữ tình|Lê Minh Kha
2209,Xa nhau từ đó,Bằng Giang,Bolero
2210,Mùa hoa phượng,Lam Phương,Lam Phương|Bolero
2211,Nhớ,Anh Bằng,Bolero
2212,Đón xuân,Phạm Đình Chương,"Bolero, ĐQ Asia"
2213,Gu Em Là Nam Á,Bùi Công Nam,Nhạc trẻ
2214,Đêm vắng nhớ mẹ,Phạm Hưng,Bolero|Phạm Hưng
2215,Con cò quên mẹ,Nguyễn Lê Việt Hùng,Nhạc trữ tình|Nguyễn Lê Việt Hùng
2216,Người yêu ơi giã từ,Khúc Lan,Nhạc ngoại lời Việt
2217,Khóc Bằng Nụ Cười,Jin Tuấn Nam,"Pop, Ballad"
2218,Tết Về Ra Mắt,Hoàng Văn Minh,Nhạc Trữ Tình
2219,Tia Nắng Đời Anh,Jin Tuấn Nam,Pop
2220,Bẽ bàng,Anh Bằng,Bolero
2221,Tâm Tư Trong Mưa,Hamlet Trương,"Nhạc Trẻ,Nhạc Trữ Tình"
2222,Vui Tết Miệt Vườn,Lý Bông Dừa,Ca cổ
2223,Chú Đại Bi,Masew,Masew|pop
2224,Vì đâu,Anh Bằng,Bolero
2225,Em sẽ là cô giáo,Nguyễn Văn Chung,Nhạc thiếu nhi
2226,Ơn Chúa Lòng Ghi Sâu,Vĩnh Phúc,Nhạc thánh ca
2227,Người Em Cưới Không Phải Anh,Đông Thiên Đức,Ballad|pop|Đông Thiên Đức
2228,Đắng cay nửa đời,Ngọc Sơn,Ngọc Sơn|Bolero
2229,Sao em không đến,Anh Bằng,Anh Bằng|Trần Ngọc Sơn|Sỹ Đan|Nhạc trữ tình
2230,Bình Minh,Vĩnh Phúc,Nhạc thánh ca
2231,Cho tôi,Ngân Giang,Nhạc trữ tình|Ngân Giang
2232,Lemon Tree (Màu Vàng Chanh),Johnny Dũng,Nhạc trữ tình
2233,Yêu Một Người Khó Lắm,Hamlet Trương,"Nhạc Trẻ,Nhạc Trữ Tình"
2234,Loạn Nhịp,Danie Thanh Bình,Danie Thanh Bình
2235,Ngưỡng cửa trần âm,Chế Phi,Nhạc trữ tình
2236,Niềm Vui,Vĩnh Phúc,Nhạc thánh ca
2237,Đời hoang,Viên Nghiệp,Bolero|Viên Nghiệp
2238,Nửa đời gian khổ,Lam Phương,Lam Phương|Bolero
2239,Ghét Anh Không,Quách Duy Thái (Hoon)|Nguyễn Cường Thịnh (Jombie),Pop
2240,Đôi Mươi,Trần Trịnh,Bolero
2241,Quảng Bình yêu thương,Ngô Sỹ Ngọc,Nhạc trữ tình
2242,Tình cô gánh hàng rong,Ngân Giang,Ngân Giang|Nhạc trữ tình
2243,Xin Em Gõ Ba Tiếng,Vũ Xuân Hùng,Nhạc ngoại|Lời Việt|Vũ Xuân Hùng
2244,Yêu,Trần Thiện Thanh,Bolero|Trần Thiện Thanh
2245,Du xuân,An Thuyên,Dân ca
2246,Mỗi Thứ Anh Thêm Vào Tình Yêu,Hamlet Trương,"Nhạc Trẻ,Nhạc Trữ Tình"
2247,Giọt mưa cuối cùng,Khúc Lan,Nhạc ngoại lời Việt
2248,Ước hẹn,Giao Tiên,Bolero
2249,Vậy Coi Được Không,Bùi Công Nam,Nhạc trẻ
2250,Gọi cố nhân,Vinh Sử,Bolero
2251,Ngược Lối Đôi Ta,H2K|Bình Kay,Pop
2252,Tôi hẹn ngày mai,Anh Bằng,Bolero
2253,Tình Yêu Mài Mòn Thành Cô Đơn,Nguyễn Quốc Cường,Nhạc trẻ
2254,Tay Trong Tay,Vĩnh Phúc,Nhạc thánh ca
2255,Nụ hôn đầu,Ngô Sỹ Ngọc,Nhạc trữ tình
2256,Từ nửa vòng trái đất,Trần Thiện Thanh,Trần Thiện Thanh|Bolero
2257,Em đi làm tín dụng,Nguyễn Văn Tý,Nhạc trữ tình
2258,Bài học lễ phép,Nguyễn Văn Chung,Nhạc thiếu nhi
2259,Con sáo Rạch Giá,Phan Ni Tấn,Nhạc trữ tình
2260,Kinh Lạy Cha,Vũ Tuấn Đức,Vũ Tuấn Đức|Nhạc trữ tình
2261,Sẽ Có Nhiều Khi,Jay Bach|Hưng Cao,Hưng Cao|Nhạc trẻ
2262,Một Mình Vẫn Ổn,Đông Thiên Đức,pop|Ballad|Đông Thiên Đức
2263,Người nuôi hy vọng,Ngân Giang,Nhạc trữ tình|Ngân Giang
2264,Về Hải Dương quê anh,Ngô Sỹ Ngọc,Nhạc trữ tình
2265,Điện Máy Xanh,Dương Khắc Linh,"Pop, Ballad"
2266,Trái tim chung tình,Giao Tiên,Bolero
2267,Mai em theo chồng,Vinh Sử,Bolero
2268,Anh Là,H2K,Pop
2269,Buồn trong đêm mưa,Khúc Lan,Nhạc ngoại lời Việt
2270,Love You In Silence,Dương Khắc Linh,"Pop, Ballad"
2271,Không Phải Lưu Manh,Đỗ Hiếu|Melyd K|Đào Anh,Hiphop / Rnb / Pop / Chill / Rap
2272,Con Đi Nhé,Bùi Công Nam,Nhạc trẻ
2273,Nhớ Mẹ,Thế Thông,Thế Thông|Nhạc thánh ca
2274,Màu mũ anh màu áo em,Trần Thiện Thanh,Bolero|Trần Thiện Thanh
2275,Em Có Chắc?,Lộn Xộn Band,Nhạc trẻ|Lộn Xộn Band
2276,Đường khuya,Hà Phương,
2277,Bâng Khuâng Nỗi Nhớ,Đỗ Anh Tuấn,Nhạc Trữ Tình
2278,Em Là Kẻ Thừa,Đạt Khói,Pop
2279,Tình cũ chưa quên,Vinh Sử,Bolero
2280,Mẹ Em Không Thích Anh,Zuong Zero,Pop
2281,Buồn như đá thời gian,Lê Quang,Lê Quang|Nhạc trữ tình|Hoàng Tuấn
2282,Rừng xanh thương nhớ,Lam Phương,Lam Phương|Bolero
2283,Môi ô mai,Trúc Hồ,Nhạc trữ tình|Trúc Hồ
2284,Days and nights I'm missing you,Trúc Hồ|Shaya,Nhạc trữ tình|Shayla|Trúc Hồ
2285,Như Giấc Mơ Dài,Bùi Công Nam,Nhạc trẻ
2286,Bàn Tay Em,Vĩnh Phúc,Nhạc thiếu nhi
2287,Thiên Địa,Nal,Nhạc trẻ
2288,Tình lẻ loi,Anh Bằng,Bolero
2289,Yêu em đến muôn ngàn kiếp,Nguyễn Huy Điền,Nhạc trữ tình|Nguyễn Huy Điền
2290,Đời có tiền sẽ như tiên,Danh Mã Phi Hùng,Nhạc Trữ Tình
2291,Đừng quên em,Tuấn Hải,Bolero
2292,Bến quê,Hà Phương,Bolero
2293,Khách Không Mời,Đông Thiên Đức,Đông Thiên Đức|Ballad|pop
2294,Lời Chúa,Thế Thông,Nhạc thánh ca|Thế Thông
2295,Bến đò xưa,Minh Thùy,Ca cổ
2296,Niệm Phật,Giác An,Phật giáo|Giác An
2297,Ba Chúng Ta,Đỗ Hiếu,Nhạc trẻ
2298,Bên dòng sông Trẹm,Phan Ni Tấn,Nhạc trữ tình
2299,Dâng lời tạ ơn,Sr. Hiền Hòa,Nhạc thánh ca|Sr. Hiền Hòa
2300,Thà khóc lên cho nhẹ lòng,Tài Nguyễn,Tài Nguyễn|Ballad
2301,Cánh bướm trong mưa,Nguyễn Duy Tùng,Nhạc Hoa
2302,Tơ sầu,Khúc Lan,Nhạc ngoại lời Việt
2303,Mẹ Quan Âm,Hamlet Trương,"Nhạc Trẻ,Nhạc Trữ Tình"
2304,Chìa khóa tình yêu,Khúc Lan,Nhạc ngoại lời Việt
2305,Phận má hồng,Y Vân,"Bolero, ĐQ Asia"
2306,Tiễn người đi,Lam Phương,Bolero|Lam Phương
2307,Một Năm,Đông Thiên Đức,Ballad|Đông Thiên Đức|pop
2308,Lấy Trai Miền Tây,Jin Tuấn Nam,pop|Jin Tuấn Nam
2309,Kinh hạnh phúc,Anh Bằng,Bolero
2310,Pink Girl,Đỗ Hiếu|Huỳnh Quốc Huy,Nhạc trẻ
2311,Tình quê,Phan Ni Tấn,Nhạc trữ tình
2312,Đỉnh gió hú,Trúc Hồ,Trúc Hồ|Nhạc trữ tình
2313,Thăm mộ mẹ,Anh Bằng,
2314,Đêm Thánh,Vĩnh Phúc,Nhạc thánh ca
2315,Yêu dấu xa vời,Khúc Lan,Nhạc ngoại lời Việt
2316,Người xa người,Trần Thiện Thanh,Bolero|Trần Thiện Thanh
2317,Bài Ca Hiệp Nhất,Thế Thông,Thế Thông|Nhạc thánh ca
2318,Bất nhiễm,Nguyễn Duy Tùng,Nhạc Hoa
2319,Hẹn Em Ở Một Cuộc Đời Khác,Mr.B,Ballad|Great Entertainment
2320,Mong Thế Giới Luôn Dịu Dàng Với Em,One Music,One Music|Ballad|pop
2321,Đây thôn Vĩ Dạ,Vinh Sử,Bolero
2322,Phủ Kín,H-Kray,Pop
2323,Mùa Hè Tình Yêu,Trúc Hồ,Nhạc trữ tình
2324,Bội Tình,Ngô Huỳnh,Bolero|Ngô Huỳnh
2325,Giòng lệ,Lam Phương,Bolero|Lam Phương
2326,Giọt lệ đài trang,Châu Kỳ,"Bolero, ĐQ Asia"
2327,Tình đầu vẫn khó phai,Trúc Hồ|Đặng Hiền,Trúc Hồ|Nhạc trữ tình|Đặng Hiền
2328,This Is My Destiny,Dương Khắc Linh,"Pop, Ballad"
2329,Yêu thầm,Chế Phi,Nhạc trữ tình
2330,Chẳng Hiểu Vì Sao,Ngắn,Ngắn|Nhạc trẻ
2331,Nói với con,Diệp Vàm Cỏ,Ca cổ
2332,Ánh trăng tàn,Minh Khang,Nhạc trữ tình|Minh Khang|Hoàng Tuấn
2333,Phai Mờ,NB3 Hoài Bảo,Nhạc trẻ
2334,Chia xa,Đăng Minh,Ca cổ
2335,Bé vui Noel,Nguyễn Văn Chung,Nhạc thiếu nhi
2336,Cánh diều kỷ niệm,Hoàng Phương,Bolero
2337,Chắc không bao giờ,Vinh Sử,Bolero
2338,Em Ngủ Chưa Ngày Mai Có Nghe Tin Nhắn Này Không,Hamlet Trương,"Nhạc Trẻ,Nhạc Trữ Tình"
2339,A brilliant journey (L1TCT Funky Rap Version),Trịnh Trần Phương Tuấn (Jack),Nhạc trẻ|Trịnh Trần Phương Tuấn (Jack)
2340,Anh Vẫn Yêu Em,Đông Thiên Đức,Ballad|Đông Thiên Đức|pop
2341,Muộn màng,Chu Minh Ký,Nhạc trữ tình|Chu Minh Ký|Hoàng Tuấn
2342,Soup Tình Yêu,Hamlet Trương,"Nhạc Trẻ,Nhạc Trữ Tình"
2343,Nơi Ánh Sáng Quay Về,Hamlet Trương,"Nhạc Trẻ,Nhạc Trữ Tình"
2344,Tình hồng Paris,Lam Phương,Bolero|Lam Phương
2345,Người đẹp Bình Dương,Vinh Sử,Bolero
2346,Biển ru niềm nhớ,Khúc Lan,Nhạc ngoại lời Việt
2347,Đừng Như Anh,Hamlet Trương,"Nhạc Trẻ,Nhạc Trữ Tình"
2348,Ăn Tết Miền Tây,Trường Lê,Trường Lê|pop
2349,Như em,Anh Bằng,Bolero
2350,Con yêu mẹ,Ngô Sỹ Ngọc,Nhạc trữ tình
2351,Mắt lệ qua thời gian,Ngọc Sơn,Bolero|Ngọc Sơn
2352,Bàn Tay Mang Dấu Đinh,Vĩnh Phúc,Nhạc thánh ca
2353,Dâng Chúa đời hôn nhân,Sr. Hiền Hòa,Sr. Hiền Hòa|Nhạc thánh ca
2354,Cơn Bão Ngày Xưa,Lý Bông Dừa,Ca cổ
2355,Nợ Duyên,Ngô Sỹ Ngọc,Nhạc trữ tình
2356,Sống Đúng Chất,Dương Khắc Linh,"Pop, Ballad"
2357,Xuân Vạn Niên,Đông Thiên Đức,pop|Ballad|Đông Thiên Đức
2358,We are the future,Dương Khắc Linh,"Pop, Balld"
2359,Bỏ phố Đà Lạt,Anh Bằng,Bolero
2360,Bến sông buồn,Vũ Phương,Vũ Phương|Bolero
2361,Như Là Mơ,Dương Khắc Linh,"Pop, Ballad"
2362,Dù cho hoa tàn úa,Khúc Lan,Nhạc ngoại lời Việt
2363,Khi Anh Ra Đi,Anh Thi,Funk
2364,Thương người em phổ nhỏ,Hàn Châu|Thanh Phương,Hàn Châu|Bolero|Thanh Phương
2365,Nói với em,Nhật Hoàng,Nhạc trẻ|Nhật Hoàng
2366,Người mang vĩnh biệt,Vinh Sử,Bolero
2367,Vì Tạm Biệt Là Từ Buồn Nhất,Hamlet Trương,"Nhạc Trẻ,Nhạc Trữ Tình"
2368,Muộn màng,Sỹ Đan,Nhạc trữ tình|Sỹ Đan
2369,Bài ca ngày vu quy,Bằng Giang,Bolero
2370,Mưa rừng,Huỳnh Anh,"Bolero, ĐQ Asia"
2371,Mùi hương dạ lý,Hoàng Phương,Bolero
2372,Yêu Một Người Không Quen,Hamlet Trương,"Nhạc Trẻ,Nhạc Trữ Tình"
2373,Anh Vội Sang Trang,Lương Gia Hùng,Pop
2374,Không Còn Cảm Giác,Nguyễn Quốc Cường,Nhạc trẻ
2375,Lấy Chồng Việt Kiều,Kaydee,Pop
2376,Cơn Mưa Phùn Đêm Xuân,Nguyễn Quốc Cường,Nhạc trẻ
2377,Lời mẹ nhắn nhủ,Lm Huyền Linh,"Bolero, ĐQ Asia"
2378,Ánh trăng tan,Anh Bằng,Bolero
2379,Nhớ Mãi Ơn Thầy,Giác An,Phật giáo|Giác An
2380,Giấu đi giọt nước mắt,Nguyễn Huy Điền,Nhạc trữ tình|Nguyễn Huy Điền
2381,Tàn thu,Lam Phương,Bolero|Lam Phương
2382,Giã Từ Covid,Thích Nhật Từ,Nhạc phật giáo
2383,Tưởng Rằng Đã Quên,Nguyễn Quốc Cường,Nhạc trẻ
2384,Trả em cay đắng mộng vàng,Anh Bằng,Bolero
2385,Tiếng Hát Nửa Vời,Trần Trịnh,Bolero
2386,Mỗi độ trăng về,Trúc Hồ,Nhạc trữ tình|Trúc Hồ
2387,Buồn đến bao giờ,Anh Bằng,Bolero
2388,Chuyện Tình Không Suy Tư,Tâm Anh,"Bolero, ĐQ Asia"
2389,Bài thơ không đoạn kết,Lam Phương,Bolero|Lam Phương
2390,Thực tế tình tiền,Vũ Tuấn,Vũ Tuấn|Bolero
2391,Xin cho con được thấy,Sr. Hiền Hòa,Sr. Hiền Hòa|Nhạc thánh ca
2392,Sài Gòn Cố Gắng Lên,Dee Trần|Tuno,"Pop, Afro"
2393,Em Về Làm Dâu,Lương Gia Hùng,Pop
2394,Viết cho cuộc tình xa,Phạm Hưng,Phạm Hưng|Bolero
2395,Bằng Lăng Nở Hoa,Nguyễn Văn Dĩ Khang (Anh Rồng),Pop
2396,Anh Không Theo Đuổi Em Nữa,Bùi Công Nam,Nhạc trẻ
2397,Tell Ur Mom II ( Remake),Winno|Heily|Hiderway|Gii,Rap
2398,Phải Chăng Em Đã Yêu,Dương Khắc Linh,"Pop, Ballad"
2399,Trả lại em dòng sông,Phan Phúc Thao,Nhạc trữ tình
2400,Chiều sông Thương (thơ Hữu Thỉnh),An Thuyên,Dân ca
2401,Hoa mẫu đơn,Anh Bằng,Bolero
2402,Nhạc rừng khuya,Lam Phương,Lam Phương|Bolero
2403,Mây chiều,Phượng Linh,Trữ tình
2404,Hoa Tím Mười Giờ,Hamlet Trương,"Nhạc Trẻ,Nhạc Trữ Tình"
2405,UFO,TaynguyenSound,Nhạc trẻ|TaynguyenSound
2406,Nói Yêu Thương Chỉ Là Thừa,Dee Trần,Nhạc trẻ
2407,Xóa Hết Đi,Trần Đăng Quang,Trần Đăng Quang|Nhạc trẻ
2408,Dâng Mẹ ngàn hoa,Sr. Hiền Hòa,Sr. Hiền Hòa|Nhạc thánh ca
2409,Có Không Giữ Mất Đừng Tìm,Bùi Công Nam,Nhạc trẻ
2410,Một lần vẫy tay chào,Vinh Sử,Bolero
2411,Cuộc tình lỡ,Khúc Lan,Nhạc ngoại lời Việt
2412,Không xả rác,Đông Phương Tường,Nhạc thiếu nhi
2413,Thôi Quên Đi,Đỗ Hiếu,Nhạc trẻ
2414,Một lần trong đời,Duy Khánh,Duy Khánh|Bolero
2415,Em Làm Du Xứ Nghệ,Ngô Sỹ Ngọc,Nhạc trữ tình
2416,Chuyện tình liêu trai,Vinh Sử,Bolero
2417,Ngày em không đến,Nguyễn Huy Điền,Nguyễn Huy Điền|Nhạc trữ tình
2418,Câu chuyện giận hờn,Sỹ Đan,Sỹ Đan|Nhạc trữ tình
2419,Có Thể Bên Cạnh Nhau,DGRADE,Nhạc trẻ
2420,Tết Mới Trong Tim Mình,Dương Khắc Linh,"Pop, Ballad"
2421,Kiếp đam mê,Duy Quang,"Bolero, ĐQ Asia"
2422,Nghe Nói Anh Thích Em,Đỗ Phương Tường,Nhạc trẻ
2423,Việt Nam ngày mới,Ngân Giang,Ngân Giang|Nhạc trữ tình
2424,Con Rối Của Em,Đỗ Hiếu,Nhạc trẻ
2425,Gửi người ngàn dặm,Lam Phương,Lam Phương|Bolero
2426,Phương Xa Nhớ Mẹ,Giác An,Phật giáo|Giác An
2427,Chuyện tình người lính trẻ,Anh Bằng,Bolero
2428,Trái tim về đâu,Trúc Hồ,Nhạc trữ tình|Trúc Hồ
2429,Cô Thắm về quê hương,Vinh Sử,Bolero
2430,Nón Bài Thơ,Trần Trịnh,Bolero
2431,Tết Là Phải Đi Về Nhà,Khánh Đơn,Pop
2432,Chúc Mừng Sinh Nhật,Vĩnh Phúc,Nhạc thánh ca
2433,Tình mùa hoa phượng,Hà Phương,Bolero
2434,Thương Anh Quá Trời,Jin Tuấn Nam,Pop
2435,Đâu Ai Một Đời Yêu Ai,Đông Thiên Đức,Đông Thiên Đức|Ballad|pop
2436,Con trai thời nay,Giao Tiên,Bolero
2437,Chuyện mây mưa (Chuyện mưa mây),Tú Nhi|Anh Việt Thanh,Tú Nhi|Bolero|Anh Việt Thanh
2438,Tạo nên MẦM SỐNG MỚI,RonOST,"Pop rock, J-pop"
2439,Đêm tình yêu,Lê Quang,Lê Quang|Hoàng Tuấn|Nhạc trữ tình
2440,Em Không Muốn Nghi Ngờ,Đỗ Hiếu|Max Vol,Nhạc trẻ
2441,Nước Mắt,Hamlet Trương,"Nhạc Trẻ,Nhạc Trữ Tình"
2442,Chúng Ta Đã Đi Quá Xa,Hamlet Trương,"Nhạc Trẻ,Nhạc Trữ Tình"
2443,Trong cuộc tình ân hận,Trúc Hồ|Đặng Hiền,Nhạc trữ tình|Đặng Hiền|Trúc Hồ
2444,Anh Vẫn Không,Đông Thiên Đức,pop|Ballad|Đông Thiên Đức
2445,Hiến Chương Yêu,Trúc Hồ,Trúc Hồ|Nhạc trữ tình
2446,Má hồng DaLat,Giao Tiên,
2447,Giã từ bóng tối,Khúc Lan,Nhạc ngoại lời Việt
2448,Khúc giao mùa,Giao Tiên,Bolero
2449,Chắc cô ta đâu biết,DC Tâm,DC Tâm|Ballad
2450,Lạy Mẹ La Vang,Thế Thông,Nhạc thánh ca|Thế Thông
2451,Dấu tình sầu,Ngô Thụy Miên,"Bolero, ĐQ Asia"
2452,Bước Không Em,Đông Thiên Đức,Ballad|pop|Đông Thiên Đức
2453,Hương Lòng Dâng Mẹ,Thế Thông,Thế Thông|Nhạc thánh ca
2454,Hôm Nay Con Bận Rồi,Bùi Công Nam,Nhạc trẻ
2455,Đứa Con Hoang Đàng,Phạm Tôn Tẫn,Nhạc Thánh Ca
2456,Chợt Yêu,Đông Thiên Đức,pop|Ballad|Đông Thiên Đức
2457,Café Xì Teen,Đông Phương Tường,Bolero
2458,Không 2,Nguyễn Ánh 9,"Bolero, ĐQ Asia"
2459,Tình đau ngàn nỗi,Trần Thiện Thanh,Bolero|Trần Thiện Thanh
2460,Đi Về Phía Mưa,Hamlet Trương,"Nhạc Trẻ,Nhạc Trữ Tình"
2461,Con đường buồn chung thân,Trần Thiện Thanh,Bolero|Trần Thiện Thanh
2462,Anh Vẫn Mơ,Nguyễn Quang Hưng,Pop
2463,Bài Ca Mlem,Jay Bach|O Buồn,Nhạc trẻ|O Buồn
2464,Tết Hết Ga,Hào JK,"Pop, Ballad"
2465,Trái tim phục sinh,Vinh Sử,Bolero
2466,Dòng máu Việt Nam,Nguyễn Huy Điền,Nhạc trữ tình|Nguyễn Huy Điền
2467,Buồn thời gian,Giao Tiên,Bolero
2468,Đừng buồn phiền,Nguyễn Văn Chung,Nhạc thiếu nhi
2469,Giây phút tạ từ,Trần Thiện Thanh,Bolero|Trần Thiện Thanh
2470,Thu đến bao giờ,Lam Phương,Lam Phương|Bolero
2471,Về Đâu Để Thấy Em,NB3 Hoài Bảo,Nhạc trẻ
2472,Kinh Ngợi Khen 1,Thế Thông,Thế Thông|Nhạc thánh ca
2473,Phận Mồ Côi,Lý Bông Dừa,Ca cổ
2474,Khi xa em,Nguyễn Huy Điền,Nguyễn Huy Điền|Nhạc trữ tình
2475,Nét đẹp thiên thần,Anh Bằng,Bolero
2476,Dù sao đi nữa,Vũ Tuấn,Bolero|Vũ Tuấn
2477,Tống biệt Hành,Diệp Vàm Cỏ,Ca cổ
2478,Hãy Yêu Thương Nhau,Vĩnh Phúc,Nhạc thánh ca
2479,Nước mắt và kỷ niệm,Ngân Giang,Nhạc trữ tình|Ngân Giang
2480,Xem Như Tôi Từng Cưới Được Cô Ây,Hamlet Trương,"Nhạc Trẻ,Nhạc Trữ Tình"
2481,Ngày Xưa Yêu Dấu,Vũ Xuân Hùng,Vũ Xuân Hùng|Nhạc ngoại|Lời Việt
2482,Một đời nhớ anh,Thanh Tuyền,Nhạc trữ tình
2483,Cuốn Theo Dòng Đời,Vũ Xuân Hùng,Vũ Xuân Hùng|Lời Việt|Nhạc ngoại
2484,Em không xứng đáng,Nguyễn Lê Việt Hùng,Nhạc trẻ|Nguyễn Lê Việt Hùng
